Date,TransactionVolume,FeeIncome,InterestIncome,TotalRevenue,MarketingSpend,PersonnelCosts,TechCosts,TransactionProcessingCosts,HedgingCosts,OtherCosts,TotalCosts,GrossProfit,OperatingProfit,CAPEX,OperatingCashFlow,FreeCashFlow,CustomerCount,ActiveCustomers,NewCustomers,CAC,LTV,LTV_CAC_Ratio,MCABalances,InterestRate,BusinessVolume,PersonalVolume,AvgFeePercent,GrossMargin,OperatingMargin,TakeRate,TransactionCostRatio,TransferMargin,Month,Quarter,Year
2020-01-31,305487120,1985663,416667,2402330,1534170,8212870,5168742,916461,244390,3065371,19141004,1241479,-16738674,1550623,-14413299,-15963922,1522500,1218000,60900,25.19,1877.42,74.53,520000000,0.0100,76371780,229115340,0.65,51.68,-696.76,0.79,0.38,0.41,1,1,2020
2020-02-29,321844691,2077609,440667,2518276,1629012,8430634,5306209,949745,251798,3122152,19689550,1316733,-17171274,1591863,-14772642,-16364505,1545338,1242946,61815,24.74,1935.09,78.22,540800000,0.0101,82070395,239774296,0.65,52.29,-681.86,0.78,0.37,0.41,2,1,2020
2020-03-31,341563686,2185207,466294,2651501,1729848,8660100,5450732,986517,259589,3180115,20266901,1405395,-17615400,1635220,-15143596,-16778815,1568496,1268178,62743,24.30,1994.30,82.07,562432000,0.0102,88202474,253361213,0.64,52.89,-664.37,0.78,0.36,0.41,3,1,2020
2020-04-30,358184118,2264081,493471,2757553,1832929,8876702,5584827,1017824,265683,3234391,20812357,1474045,-18054804,1675448,-15522471,-17197919,1591978,1293829,63683,24.07,2055.14,85.38,584929280,0.0103,93129871,265054247,0.63,53.45,-654.73,0.77,0.36,0.41,4,2,2020
2020-05-31,376365908,2350290,522418,2872708,1938402,9101104,5725348,1050374,272087,3289971,21377287,1550247,-18504579,1717604,-15916157,-17633761,1615789,1319907,64634,23.80,2117.66,88.98,608326451,0.0104,98419466,277946442,0.62,53.96,-644.14,0.76,0.35,0.41,5,2,2020
2020-06-30,402167654,2463026,553242,3016268,2053243,9355693,5888613,1091389,280993,3353241,22023172,1643886,-19006905,1766584,-16335661,-18102245,1639934,1346420,65598,23.52,2181.91,92.77,632659509,0.0105,106575428,295592226,0.61,54.50,-630.15,0.75,0.34,0.41,6,2,2020
2020-07-31,414876134,2522837,586053,3108889,2164467,9584682,6028387,1116166,286421,3408391,22588514,1706303,-19479625,1808516,-16731235,-18539751,1664416,1373377,66573,23.23,2247.95,96.77,657965890,0.0106,111347209,303528925,0.61,54.95,-626.89,0.75,0.34,0.41,7,3,2020
2020-08-31,428086619,2584443,620967,3205410,2282158,9821172,6173838,1141271,292059,3464886,23175384,1772079,-19969974,1852151,-17144173,-18996324,1689241,1400790,67561,23.01,2315.83,100.63,684284525,0.0107,116495042,311591578,0.60,55.32,-622.71,0.75,0.34,0.41,8,3,2020
2020-09-30,458865591,2737959,658187,3396146,2406513,10064268,6324157,1176859,300317,3522739,23795153,1918970,-20399007,1897307,-17573902,-19471209,1714415,1428670,68563,22.80,2385.60,104.65,711655906,0.0108,126185038,332680554,0.60,56.51,-600.65,0.74,0.32,0.42,9,3,2020
2020-10-31,475220234,2813052,697814,3510867,2537735,10314084,6479542,1203358,306581,3582203,24423503,2000927,-20912637,1943863,-18019881,-19963744,1739944,1456973,69576,22.64,2457.30,108.53,740122143,0.0109,131869525,343350709,0.59,57.02,-595.94,0.74,0.32,0.42,10,4,2020
2020-11-30,491893542,2889867,739968,3629835,2676143,10570743,6640196,1230290,312958,3643301,25073631,2086587,-21443796,1992059,-18483236,-20475295,1765833,1485708,70602,22.42,2530.97,112.87,769727028,0.0110,137730192,354163350,0.59,57.48,-591.05,0.74,0.31,0.42,11,4,2020
2020-12-31,541082896,3139281,784769,3924050,2822076,10834371,6806329,1268118,323153,3706088,25760135,2332779,-21836085,2041899,-18964941,-21006840,1792087,1514883,71639,22.16,2606.69,117.63,800516109,0.0111,152865778,388217118,0.58,59.45,-556.72,0.73,0.29,0.43,12,4,2020
2021-01-31,506936411,2899563,832339,3731902,2975902,11104100,6978163,1295216,329889,3770606,26454875,2106797,-22722973,2093449,-19463977,-21557426,1818713,1544515,72688,21.92,2684.52,122.47,832536754,0.0113,144477377,362459034,0.57,56.45,-609.16,0.74,0.32,0.42,1,1,2021
2021-02-28,533818832,3017072,882806,3899878,3138018,11380070,7155926,1322641,336719,3836896,27170270,2240517,-23270392,2146778,-19981147,-22127925,1845718,1574622,73750,21.74,2764.53,127.18,865838223,0.0114,153640823,380178009,0.57,57.45,-596.70,0.73,0.31,0.42,2,1,2021
2021-03-31,566047862,3164827,936307,4101135,3309860,11664931,7341360,1352221,344193,3907044,27919610,2404721,-23818475,2202408,-20519052,-22721460,1873107,1605215,74824,21.51,2846.79,132.32,900471752,0.0115,164155881,401891981,0.56,58.64,-580.78,0.72,0.30,0.42,3,1,2021
2021-04-30,593050317,3272217,993002,4265219,3491896,11958940,7534701,1382162,351815,3979078,28698590,2531242,-24433372,2260410,-21079358,-23339769,1900888,1636305,75911,21.29,2931.35,137.67,936490622,0.0116,172984492,420065824,0.55,59.35,-572.86,0.72,0.29,0.43,4,2,2021
2021-05-31,622952832,3386268,1053053,4439321,3684631,12262364,7736191,1412613,359592,4053033,29508422,2667116,-25069102,2320857,-21663223,-23984080,1929064,1667902,77010,21.07,3018.30,143.28,973950247,0.0117,182845782,440107050,0.54,60.08,-564.71,0.71,0.28,0.43,5,2,2021
2021-06-30,665300343,3576365,1116636,4693001,3888600,12575469,7946087,1444947,367901,4129987,30353150,2880153,-25660150,2383826,-22272075,-24655901,1957641,1700015,78124,20.89,3107.71,148.80,1012908256,0.0119,196263201,469037141,0.54,61.37,-546.77,0.71,0.27,0.43,6,2,2021
2021-07-31,685307703,3625078,1183932,4809010,4104381,12898442,8164660,1477289,376373,4209987,31231132,2955348,-26422122,2449398,-22906834,-25356232,1986626,1732689,79250,20.71,3199.62,154.52,1053424587,0.0120,203818091,481489612,0.53,61.45,-549.43,0.70,0.27,0.43,7,3,2021
